StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Dwayne Bravo,93,11,7-10-1983,MI,Mumbai Indians,10,218,203,107.38,15,8,8,2,2,0,70*,27.25,West Indies,rhb,Overseas,True
Dwayne Smith,0,8,12-4-1983,DEC,Deccan Chargers,8,215,132,162.87,12,15,8,0,0,0,49,26.87,West Indies,rhb,Overseas,True
Graeme Smith,0,12,1-2-1981,RR,Rajasthan Royals,12,212,216,98.14,27,1,11,1,1,0,77,19.27,South Africa,lhb,Overseas,False
Irfan Pathan,458,14,27-10-1984,PBKS,Punjab Kings,12,196,158,124.05,17,6,10,2,0,0,39,19.6,India,lhb,Indian,False
Abhishek Nayar,0,13,8-10-1983,MI,Mumbai Indians,11,193,152,126.97,14,7,9,2,0,0,35,21.44,India,lhb,Indian,False
Sourav Ganguly,0,13,8-7-1972,KKR,Kolkata Knight Riders,11,189,207,91.3,13,6,11,0,0,0,46,17.18,India,lhb,Indian,False
Subramaniam Badrinath,0,14,30-8-1980,CSK,Chennai Super Kings,11,177,164,107.92,20,4,9,2,1,0,59*,19.66,India,rhb,Indian,True
Robin Uthappa,153,15,11-11-1985,RCB,Royal Challengers Bangalore,13,175,170,102.94,18,3,11,2,1,0,66*,15.9,India,rhb,Indian,True
Chris Gayle,126,7,21-9-1979,KKR,Kolkata Knight Riders,7,171,143,119.58,15,10,6,1,0,0,44*,28.5,West Indies,lhb,Overseas,False
Manish Pandey,16,5,10-9-1989,RCB,Royal Challengers Bangalore,4,168,118,142.37,17,4,2,2,0,1,114*,84.0,India,rhb,Indian,True
Naman Ojha,0,8,20-7-1983,RR,Rajasthan Royals,8,168,144,116.66,11,11,7,1,2,0,68,24.0,India,rhb,Indian,True
Mark Boucher,0,12,3-12-1976,RCB,Royal Challengers Bangalore,9,150,116,129.31,8,6,5,4,0,0,48*,30.0,South Africa,rhb,Overseas,True
Simon Katich,0,9,21-8-1975,PBKS,Punjab Kings,9,145,117,123.93,15,6,9,0,1,0,50,16.11,Australia,lhb,Overseas,False
Ajinkya Rahane,44,8,6-6-1988,MI,Mumbai Indians,7,144,123,117.07,12,3,6,1,2,0,62*,24.0,India,rhb,Indian,True
Parthiv Patel,48,9,9-3-1985,CSK,Chennai Super Kings,9,142,126,112.69,19,2,9,0,0,0,36,15.77,India,lhb,Indian,False
Ravi Bopara,0,5,4-5-1985,PBKS,Punjab Kings,5,138,119,115.96,8,7,5,0,1,0,84,27.6,England,rhb,Overseas,True
Karan Goel,0,9,24-12-1986,PBKS,Punjab Kings,9,124,133,93.23,9,4,8,1,0,0,38,15.5,India,lhb,Indian,False
Venugopal Rao,0,16,26-2-1982,DEC,Deccan Chargers,13,124,114,108.77,6,3,11,2,0,0,32,11.27,India,rhb,Indian,True
Roelof van der Merwe,649,10,31-12-1984,RCB,Royal Challengers Bangalore,8,122,98,124.48,8,8,8,0,0,0,35,15.25,Netherlands,rhb,Overseas,True
Sunny Sohal,0,8,10-11-1987,PBKS,Punjab Kings,8,115,93,123.65,9,8,8,0,0,0,43,14.37,United States of America,rhb,Overseas,True
Shane Warne,0,13,13-9-1969,RR,Rajasthan Royals,11,108,116,93.1,6,4,8,3,0,0,34*,13.5,Australia,rhb,Overseas,True
Rob Quiney,0,7,20-8-1982,RR,Rajasthan Royals,7,103,102,100.98,12,3,7,0,1,0,51,14.71,Australia,lhb,Overseas,False
David Hussey,0,4,15-7-1977,KKR,Kolkata Knight Riders,4,98,59,166.1,7,6,4,0,0,0,43,24.5,Australia,rhb,Overseas,True
Swapnil Asnodkar,0,8,29-3-1984,RR,Rajasthan Royals,8,98,93,105.37,11,4,8,0,0,0,44,12.25,India,rhb,Indian,True
Albie Morkel,481,12,10-6-1981,CSK,Chennai Super Kings,10,97,70,138.57,8,4,4,6,0,0,21*,24.25,South Africa,lhb,Overseas,False
Kevin Pietersen,0,6,27-6-1980,RCB,Royal Challengers Bangalore,6,93,85,109.41,8,2,6,0,0,0,37,15.5,England,rhb,Overseas,True
Jacob Oram,0,11,28-7-1978,CSK,Chennai Super Kings,8,88,93,94.62,5,4,6,2,0,0,41*,14.66,New Zealand,lhb,Overseas,False
Harbhajan Singh,95,13,3-7-1980,MI,Mumbai Indians,10,84,53,158.49,6,5,8,2,0,0,20,10.5,India,rhb,Indian,True
Laxmi Ratan Shukla,0,9,6-5-1981,KKR,Kolkata Knight Riders,6,83,85,97.64,5,3,5,1,0,0,48*,16.6,India,rhb,Indian,True
Lee Carseldine,0,5,17-11-1975,RR,Rajasthan Royals,5,81,68,119.11,11,0,4,1,0,0,39,20.25,Australia,lhb,Overseas,False
Abhishek Raut,0,9,3-3-1987,RR,Rajasthan Royals,7,78,61,127.86,5,3,4,3,0,0,36*,19.5,India,rhb,Indian,True
Wriddhiman Saha,225,8,24-10-1984,KKR,Kolkata Knight Riders,7,72,41,175.6,3,4,3,4,0,0,25*,24.0,India,rhb,Indian,True
Azhar Bilakhia,0,6,31-5-1986,DEC,Deccan Chargers,6,67,81,82.71,5,0,4,2,0,0,22,16.75,India,rhb,Indian,True
Ajit Agarkar,464,11,4-12-1977,KKR,Kolkata Knight Riders,7,66,57,115.78,3,3,2,5,0,0,39,33.0,India,rhb,Indian,True
Dwaraka Ravi Teja,0,9,5-9-1987,DEC,Deccan Chargers,6,65,70,92.85,7,0,3,3,0,0,27,21.66,India,rhb,Indian,True
Praveen Kumar,0,13,2-10-1986,RCB,Royal Challengers Bangalore,8,65,46,141.3,1,6,5,3,0,0,14*,13.0,India,rhb,Indian,True
Andrew Flintoff,0,3,6-12-1977,CSK,Chennai Super Kings,3,62,53,116.98,5,2,2,1,0,0,24,31.0,England,rhb,Overseas,True
Murali Vijay,53,4,1-4-1984,CSK,Chennai Super Kings,4,60,67,89.55,4,2,4,0,0,0,31,15.0,India,rhb,Indian,True
Jesse Ryder,0,5,6-8-1984,RCB,Royal Challengers Bangalore,5,56,49,114.28,9,0,5,0,0,0,32,11.2,New Zealand,lhb,Overseas,False
Shreevats Goswami,223,2,18-5-1989,RCB,Royal Challengers Bangalore,2,53,60,88.33,6,0,2,0,0,0,43,26.5,India,lhb,Indian,False
Pinal Shah,0,9,3-11-1987,MI,Mumbai Indians,5,53,51,103.92,4,2,3,2,0,0,29,17.66,India,rhb,Indian,True
Johan Botha,0,3,2-5-1982,RR,Rajasthan Royals,3,47,40,117.5,5,0,2,1,0,0,37,23.5,South Africa,rhb,Overseas,True
Yashpal Singh,0,8,27-11-1981,KKR,Kolkata Knight Riders,4,47,66,71.21,5,0,4,0,0,0,20,11.75,India,rhb,Indian,True
Vinay Kumar,0,11,12-2-1984,RCB,Royal Challengers Bangalore,8,47,44,106.81,4,1,5,3,0,0,12,9.4,India,rhb,Indian,True
George Bailey,0,3,7-9-1982,CSK,Chennai Super Kings,2,45,39,115.38,7,0,2,0,0,0,30,22.5,Australia,rhb,Overseas,True
Luke Pomersbach,0,4,28-9-1984,PBKS,Punjab Kings,4,41,49,83.67,3,1,4,0,0,0,26,10.25,Australia,lhb,Overseas,False
Shikhar Dhawan,11,5,5-12-1985,MI,Mumbai Indians,4,40,45,88.88,3,0,4,0,0,0,22,10.0,India,lhb,Indian,False
Dimitri Mascarenhas,0,5,30-10-1977,RR,Rajasthan Royals,4,39,39,100.0,4,0,4,0,0,0,27,9.75,England,rhb,Overseas,True
Moises Henriques,133,4,1-2-1987,KKR,Kolkata Knight Riders,3,38,40,95.0,2,1,2,1,0,0,30*,19.0,Australia,rhb,Overseas,True
Munaf Patel,460,11,12-7-1983,RR,Rajasthan Royals,5,33,26,126.92,5,0,3,2,0,0,23*,11.0,India,rhb,Indian,True
Piyush Chawla,149,14,24-12-1988,PBKS,Punjab Kings,10,31,36,86.11,3,0,5,5,0,0,8*,6.2,India,lhb,Indian,False
Chaminda Vaas,493,2,27-1-1974,DEC,Deccan Chargers,2,30,21,142.85,1,1,1,1,0,0,20,30.0,Sri Lanka,lhb,Overseas,False
Wilkin Mota,0,8,20-9-1981,PBKS,Punjab Kings,6,30,48,62.5,0,0,5,1,0,0,12,6.0,India,rhb,Indian,True
Brett Lee,300,5,8-11-1976,PBKS,Punjab Kings,4,28,34,82.35,2,1,2,2,0,0,14*,14.0,Australia,rhb,Overseas,True
Amit Mishra,107,11,24-11-1982,DC,Delhi Capitals,5,26,20,130.0,2,2,3,2,0,0,13*,8.66,India,rhb,Indian,True
Ramesh Powar,0,9,20-5-1978,PBKS,Punjab Kings,4,23,22,104.54,2,0,1,3,0,0,10,23.0,India,rhb,Indian,True
Ryan Harris,0,8,11-10-1979,DEC,Deccan Chargers,5,21,18,116.66,0,0,1,4,0,0,9*,21.0,Australia,rhb,Overseas,True
Murali Kartik,0,10,11-9-1976,KKR,Kolkata Knight Riders,2,21,20,105.0,0,0,0,2,0,0,11*,0.0,India,lhb,Indian,False
Joginder Sharma,0,4,23-10-1983,CSK,Chennai Super Kings,2,20,18,111.11,0,1,1,1,0,0,16*,20.0,India,rhb,Indian,True
Shadab Jakati,0,9,27-11-1980,CSK,Chennai Super Kings,2,20,15,133.33,3,0,1,1,0,0,13,20.0,India,lhb,Indian,False
Rajesh Bishnoi,0,3,8-10-1987,RCB,Royal Challengers Bangalore,3,19,17,111.76,1,2,3,0,0,0,18,6.33,India,rhb,Indian,True
VVS Laxman,0,5,1-11-1974,DEC,Deccan Chargers,5,19,33,57.57,1,1,5,0,0,0,10,3.8,India,rhb,Indian,True
Niraj Patel,0,4,26-3-1981,RR,Rajasthan Royals,2,18,38,47.36,1,0,2,0,0,0,14,9.0,India,lhb,Indian,False
Balachandra Akhil,0,6,7-10-1977,RCB,Royal Challengers Bangalore,3,17,15,113.33,1,1,2,1,0,0,9,8.5,India,rhb,Indian,True
