Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Manish Pandey,13,10-9-1989,KKR,Kolkata Knight Riders,12,225,184,122.28,22,7,11,1,0,0,40,20.45,India,rhb,Indian,True
Mayank Agarwal,10,16-2-1991,DC,Delhi Capitals,10,213,177,120.33,23,7,9,1,2,0,68,23.66,India,rhb,Indian,True
Axar Patel,14,20-1-1994,PBKS,Punjab Kings,12,206,174,118.39,13,8,9,3,0,0,40*,22.88,India,lhb,Indian,False
Sanju Samson,14,11-11-1994,RR,Rajasthan Royals,11,204,163,125.15,16,8,10,1,1,0,76,20.4,India,rhb,Indian,True
Dwayne Bravo,17,7-10-1983,CSK,Chennai Super Kings,14,195,148,131.75,22,5,9,5,1,0,62*,21.66,West Indies,rhb,Overseas,True
Kedar Jadhav,14,26-3-1985,DC,Delhi Capitals,12,189,140,135.0,16,7,8,4,1,0,63*,23.62,India,rhb,Indian,True
Eoin Morgan,9,10-9-1986,SRH,Sunrisers Hyderabad,9,187,151,123.84,11,11,8,1,1,0,63,23.37,England,lhb,Overseas,False
Karun Nair,14,6-12-1991,RR,Rajasthan Royals,12,181,145,124.82,18,5,11,1,1,0,61,16.45,India,rhb,Indian,True
Suryakumar Yadav,13,14-9-1990,KKR,Kolkata Knight Riders,13,157,113,138.93,12,8,9,4,0,0,46*,17.44,India,rhb,Indian,True
Mandeep Singh,14,18-12-1991,RCB,Royal Challengers Bangalore,9,157,100,157.0,17,6,7,2,1,0,54*,22.42,India,rhb,Indian,True
Deepak Hooda,14,19-4-1995,RR,Rajasthan Royals,9,151,95,158.94,6,11,9,0,1,0,54,16.77,India,rhb,Indian,True
Ravi Bopara,9,4-5-1985,SRH,Sunrisers Hyderabad,8,145,120,120.83,6,6,5,3,0,0,41,29.0,England,rhb,Overseas,True
Glenn Maxwell,11,14-10-1988,PBKS,Punjab Kings,11,145,112,129.46,13,8,11,0,0,0,43,13.18,Australia,rhb,Overseas,True
Angelo Mathews,11,2-6-1987,DC,Delhi Capitals,10,144,104,138.46,12,6,7,3,0,0,28,20.57,Sri Lanka,rhb,Overseas,True
James Faulkner,13,29-4-1990,RR,Rajasthan Royals,11,144,109,132.11,12,5,8,3,0,0,46,18.0,Australia,rhb,Overseas,True
KL Rahul,9,18-4-1992,SRH,Sunrisers Hyderabad,8,142,126,112.69,8,5,5,3,0,0,44*,28.4,India,rhb,Indian,True
Dinesh Karthik,16,1-6-1985,RCB,Royal Challengers Bangalore,11,141,117,120.51,15,4,11,0,0,0,28,12.81,India,rhb,Indian,True
Naman Ojha,14,20-7-1983,SRH,Sunrisers Hyderabad,11,137,121,113.22,12,4,10,1,0,0,28,13.7,India,rhb,Indian,True
Ravindra Jadeja,17,6-12-1988,CSK,Chennai Super Kings,12,132,126,104.76,7,3,7,5,0,0,24,18.85,India,lhb,Indian,False
Quinton de Kock,3,17-12-1992,DC,Delhi Capitals,3,122,77,158.44,18,4,3,0,2,0,69,40.66,South Africa,lhb,Overseas,False
David Wiese,14,18-5-1985,RCB,Royal Challengers Bangalore,7,122,86,141.86,12,4,4,3,0,0,47*,30.5,Namibia,rhb,Overseas,True
Harbhajan Singh,15,3-7-1980,MI,Mumbai Indians,10,117,73,160.27,9,9,7,3,1,0,64,16.71,India,rhb,Indian,True
Pawan Negi,10,6-1-1993,CSK,Chennai Super Kings,9,116,73,158.9,10,5,8,1,0,0,36,14.5,India,lhb,Indian,False
Corey Anderson,4,13-12-1990,MI,Mumbai Indians,4,114,97,117.52,11,6,3,1,2,0,55*,38.0,New Zealand,lhb,Overseas,False
Hardik Pandya,9,11-10-1993,MI,Mumbai Indians,8,112,62,180.64,9,8,5,3,1,0,61*,22.4,India,rhb,Indian,True
Sarfaraz Khan,13,22-10-1997,RCB,Royal Challengers Bangalore,8,111,71,156.33,12,2,4,4,0,0,45*,27.75,India,rhb,Indian,True
Saurabh Tiwary,7,30-12-1989,DC,Delhi Capitals,6,109,78,139.74,9,5,0,6,0,0,28*,0.0,India,lhb,Indian,False
Karn Sharma,14,23-10-1987,SRH,Sunrisers Hyderabad,9,104,85,122.35,3,6,6,3,0,0,32,17.33,India,lhb,Indian,False
Unmukt Chand,6,26-3-1993,MI,Mumbai Indians,5,102,83,122.89,13,2,5,0,1,0,58,20.4,United States of America,rhb,Overseas,True
Virender Sehwag,8,20-10-1978,PBKS,Punjab Kings,8,99,84,117.85,12,3,8,0,0,0,47,12.37,India,rhb,Indian,True
Albie Morkel,4,10-6-1981,DC,Delhi Capitals,3,86,65,132.3,9,2,1,2,1,0,73*,86.0,South Africa,lhb,Overseas,False
Manan Vohra,7,18-7-1993,PBKS,Punjab Kings,7,82,81,101.23,4,5,7,0,0,0,39,11.71,India,rhb,Indian,True
