MatchRow,TossTeam,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Year,MatchName1,MatchName2,Winner,WinDetails,Runs1,Wickets1,Overs1,Runs2,Wickets2,Overs2
55.0,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,167/8 (20.0 Overs),Chennai Super Kings,0.0,0.0,140/8 (20.0 Overs),Delhi Capitals,M. A. Chidambaram Stadium,Chennai,2023-05-10,19:30,2023-05-10,23:00,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,won by 27  runs,167.0,8.0,20.0,140.0,8.0,20.0
54.0,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,199/6 (20.0 Overs),Royal Challengers Bangalore,0.0,0.0,200/4 (16.3 Overs),Mumbai Indians,Wankhede Stadium,Mumbai,2023-05-09,19:30,2023-05-09,23:00,2023,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,won by 6  wickets,199.0,6.0,20.0,200.0,4.0,16.3
53.0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,179/7 (20.0 Overs),Punjab Kings,0.0,0.0,182/5 (20.0 Overs),Kolkata Knight Riders,Eden Gardens,Kolkata,2023-05-08,19:30,2023-05-08,23:00,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,won by 5  wickets,179.0,7.0,20.0,182.0,5.0,20.0
52.0,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,214/2 (20.0 Overs),Rajasthan Royals,0.0,0.0,217/6 (20.0 Overs),Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,2023-05-07,19:30,2023-05-07,23:00,2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,won by 4  wickets,214.0,2.0,20.0,217.0,6.0,20.0
51.0,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,227/2 (20.0 Overs),Gujarat Titans,0.0,0.0,171/7 (20.0 Overs),Lucknow Super Giants,Narendra Modi Stadium,Ahmedabad,2023-05-07,15:30,2023-05-07,23:00,2023,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,won by 56  runs,227.0,2.0,20.0,171.0,7.0,20.0
50.0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,181/4 (20.0 Overs),Royal Challengers Bangalore,0.0,0.0,187/3 (16.4 Overs),Delhi Capitals,Arun Jaitley Stadium,Delhi,2023-05-06,19:30,2023-05-06,23:00,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,won by 7  wickets,181.0,4.0,20.0,187.0,3.0,16.4
49.0,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,139/8 (20.0 Overs),Mumbai Indians,0.0,0.0,140/4 (17.4 Overs),Chennai Super Kings,M. A. Chidambaram Stadium,Chennai,2023-05-06,15:30,2023-05-06,23:00,2023,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,won by 6  wickets,139.0,8.0,20.0,140.0,4.0,17.4
48.0,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,118/10 (17.5 Overs),Rajasthan Royals,0.0,0.0,119/1 (13.5 Overs),Gujarat Titans,Sawai Mansingh Stadium,Jaipur,2023-05-05,19:30,2023-05-05,23:00,2023,Rajasthan Royals,Gujarat Titans,Gujarat Titans,won by 9  wickets,118.0,10.0,17.5,119.0,1.0,13.5
47.0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,171/9 (20.0 Overs),Kolkata Knight Riders,0.0,0.0,166/8 (20.0 Overs),Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2023-05-04,19:30,2023-05-04,23:00,2023,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,won by 5  runs,171.0,9.0,20.0,166.0,8.0,20.0
46.0,Mumbai Indians,Punjab Kings,Mumbai Indians,214/3 (20.0 Overs),Punjab Kings,0.0,0.0,216/4 (18.5 Overs),Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,Mohali,2023-05-03,19:30,2023-05-03,23:00,2023,Punjab Kings,Mumbai Indians,Mumbai Indians,won by 6  wickets,214.0,3.0,20.0,216.0,4.0,18.5
45.0,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,125/7 (19.2 Overs),Lucknow Super Giants,0.0,0.0,Not Available,Chennai Super Kings,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,2023-05-03,15:30,2023-05-03,23:00,2023,Lucknow Super Giants,Chennai Super Kings,No Result,No result,125.0,7.0,19.2,-1.0,-1.0,-1.0
44.0,Delhi Capitals,Gujarat Titans,Delhi Capitals,130/8 (20.0 Overs),Delhi Capitals,0.0,0.0,125/6 (20.0 Overs),Gujarat Titans,Narendra Modi Stadium,Ahmedabad,2023-05-02,19:30,2023-05-02,23:00,2023,Gujarat Titans,Delhi Capitals,Delhi Capitals,won by 5  runs,130.0,8.0,20.0,125.0,6.0,20.0
43.0,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,126/9 (20.0 Overs),Royal Challengers Bangalore,0.0,0.0,108/10 (19.5 Overs),Lucknow Super Giants,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,2023-05-01,19:30,2023-05-01,23:00,2023,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,won by 18  runs,126.0,9.0,20.0,108.0,10.0,19.5
42.0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,212/7 (20.0 Overs),Rajasthan Royals,0.0,0.0,214/4 (19.3 Overs),Mumbai Indians,Wankhede Stadium,Mumbai,2023-04-30,19:30,2023-04-30,23:00,2023,Mumbai Indians,Rajasthan Royals,Mumbai Indians,won by 6  wickets,212.0,7.0,20.0,214.0,4.0,19.3
