MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
40,40th  T20,Sunrisers Hyderabad VS Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad won by 7 wickets,Sunrisers Hyderabad,Rajasthan Royals,164/5 (20 Overs),RR,Rajasthan Royals,,,167/3 (18.3 Overs),SRH,Sunrisers Hyderabad,Dubai International Stadium,Dubai,2021-09-27 18:00:00,18:00,27 Sep 2021,23:00,Sunrisers Hyderabad
39,39th  T20,Royal Challengers Bangalore VS Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore won by 54 runs,Royal Challengers Bangalore,Mumbai Indians,165/6 (20 Overs),RCB,Royal Challengers Bangalore,,,111/10 (18.1 Overs),MI,Mumbai Indians,Dubai International Stadium,Dubai,2021-09-26 18:00:00,18:00,26 Sep 2021,23:00,Royal Challengers Bangalore
38,38th  T20,Chennai Super Kings VS Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings won by 2 wickets,Chennai Super Kings,Kolkata Knight Riders,171/6 (20 Overs),KKR,Kolkata Knight Riders,,,172/8 (20 Overs),CSK,Chennai Super Kings,Zayed Cricket Stadium,Abu Dhabi,2021-09-26 14:00:00,14:00,26 Sep 2021,23:00,Chennai Super Kings
37,37th  T20,Sunrisers Hyderabad VS Punjab Kings,Punjab Kings,Punjab Kings won by 5 runs,Sunrisers Hyderabad,Punjab Kings,125/7 (20 Overs),PBKS,Punjab Kings,,,120/7 (20 Overs),SRH,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sharjah,2021-09-25 18:00:00,18:00,25 Sep 2021,23:00,Punjab Kings
36,36th  T20,Delhi Capitals VS Rajasthan Royals,Rajasthan Royals,Delhi Capitals won by 33 runs,Delhi Capitals,Rajasthan Royals,154/6 (20 Overs),DC,Delhi Capitals,,,121/6 (20 Overs),RR,Rajasthan Royals,Zayed Cricket Stadium,Abu Dhabi,2021-09-25 14:00:00,14:00,25 Sep 2021,23:00,Delhi Capitals
35,35th  T20,Royal Challengers Bangalore VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 6 wickets,Royal Challengers Bangalore,Chennai Super Kings,156/6 (20 Overs),RCB,Royal Challengers Bangalore,,,157/4 (18.1 Overs),CSK,Chennai Super Kings,Sharjah Cricket Stadium,Sharjah,2021-09-24 18:00:00,18:00,24 Sep 2021,23:00,Chennai Super Kings
34,34th  T20,Mumbai Indians VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets,Mumbai Indians,Kolkata Knight Riders,155/6 (20 Overs),MI,Mumbai Indians,,,159/3 (15.1 Overs),KKR,Kolkata Knight Riders,Zayed Cricket Stadium,Abu Dhabi,2021-09-23 18:00:00,18:00,23 Sep 2021,23:00,Kolkata Knight Riders
33,33rd  T20,Delhi Capitals VS Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals won by 8 wickets,Delhi Capitals,Sunrisers Hyderabad,134/9 (20 Overs),SRH,Sunrisers Hyderabad,,,139/2 (17.5 Overs),DC,Delhi Capitals,Dubai International Stadium,Dubai,2021-09-22 18:00:00,18:00,22 Sep 2021,23:00,Delhi Capitals
32,32nd  T20,Punjab Kings VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 2 runs,Punjab Kings,Rajasthan Royals,185/10 (20 Overs),RR,Rajasthan Royals,,,183/4 (20 Overs),PBKS,Punjab Kings,Dubai International Stadium,Dubai,2021-09-21 18:00:00,18:00,21 Sep 2021,23:00,Rajasthan Royals
31,31st T20,Kolkata Knight Riders VS Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders won by 9 wickets,Kolkata Knight Riders,Royal Challengers Bangalore,92/10 (19 Overs),RCB,Royal Challengers Bangalore,,,94/1 (10 Overs),KKR,Kolkata Knight Riders,Zayed Cricket Stadium,Abu Dhabi,2021-09-20 18:00:00,18:00,20 Sep 2021,23:00,Kolkata Knight Riders
30,30th  T20,Chennai Super Kings VS Mumbai Indians,Mumbai Indians,Chennai Super Kings won by 20 runs,Chennai Super Kings,Mumbai Indians,156/6 (20 Overs),CSK,Chennai Super Kings,,,136/8 (20 Overs),MI,Mumbai Indians,Dubai International Stadium,Dubai,2021-09-19 18:00:00,18:00,19 Sep 2021,23:00,Chennai Super Kings
