Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Kuldip Yadav,False,Indian,RR,Rajasthan Royals,2,2,68,9,34.0,21.0,9.71,7.0,3,4,2,18/1,18/1,0,0,0,42
Abhishek Sharma,False,Indian,SRH,Sunrisers Hyderabad,11,5,124,23,62.0,36.0,10.33,12.0,8,9,2,26/1,26/1,0,0,0,72
Yash Dayal,True,Indian,GT,Gujarat Titans,5,5,165,24,82.5,42.0,11.78,14.0,12,12,2,31/1,31/1,0,0,0,84
Tim Southee,True,Overseas,KKR,Kolkata Knight Riders,2,2,79,12,39.5,18.0,13.16,6.0,8,5,2,54/2,54/2,0,0,0,36
Liam Livingstone,True,Overseas,PBKS,Punjab Kings,9,5,94,5,47.0,21.0,13.42,7.0,15,2,2,19/1,19/1,0,0,0,42
Kulwant Khejroliya,False,Indian,KKR,Kolkata Knight Riders,2,2,64,7,32.0,13.0,14.76,4.2,5,4,2,44/2,44/2,0,0,0,26
Praveen Dubey,True,Indian,DC,Delhi Capitals,1,1,19,8,19.0,18.0,6.33,3.0,1,1,1,19/1,19/1,0,0,0,18
Glenn Phillips,True,Overseas,SRH,Sunrisers Hyderabad,5,2,20,6,20.0,18.0,6.66,3.0,2,0,1,10/1,10/1,0,0,0,18
Reece Topley,True,Overseas,RCB,Royal Challengers Bangalore,1,1,14,7,14.0,12.0,7.0,2.0,3,0,1,14/1,14/1,0,0,0,12
Tristan Stubbs,True,Overseas,MI,Mumbai Indians,2,1,14,3,14.0,12.0,7.0,2.0,0,1,1,14/1,14/1,0,0,0,12
Mayank Dagar,True,Indian,SRH,Sunrisers Hyderabad,3,3,83,22,83.0,66.0,7.54,11.0,7,3,1,37/1,37/1,0,0,0,66
Sisanda Magala,True,Overseas,CSK,Chennai Super Kings,2,2,51,6,51.0,36.0,8.5,6.0,5,0,1,37/1,37/1,0,0,0,36
Rishi Dhawan,True,Indian,PBKS,Punjab Kings,6,4,60,20,60.0,42.0,8.57,7.0,8,3,1,20/1,20/1,0,0,0,42
Aiden Markram,True,Overseas,SRH,Sunrisers Hyderabad,13,6,70,12,70.0,49.0,8.57,8.1,8,1,1,24/1,24/1,0,0,0,49
Rovman Powell,True,Overseas,DC,Delhi Capitals,3,1,18,4,18.0,12.0,9.0,2.0,1,1,1,18/1,18/1,0,0,0,12
Umesh Yadav,True,Indian,KKR,Kolkata Knight Riders,8,8,189,42,189.0,114.0,9.94,19.0,18,11,1,27/1,27/1,0,0,0,114
Akeal Hosein,False,Overseas,SRH,Sunrisers Hyderabad,1,1,40,6,40.0,24.0,10.0,4.0,4,2,1,40/1,40/1,0,0,0,24
Darshan Nalkande,True,Indian,GT,Gujarat Titans,1,1,44,9,44.0,24.0,11.0,4.0,4,2,1,44/1,44/1,0,0,0,24
Mustafizur Rahman,False,Overseas,DC,Delhi Capitals,2,2,79,13,79.0,42.0,11.28,7.0,10,4,1,38/1,38/1,0,0,0,42
Akash Deep,True,Indian,RCB,Royal Challengers Bangalore,2,2,59,11,59.0,30.0,11.8,5.0,5,4,1,29/1,29/1,0,0,0,30
Lockie Ferguson,True,Overseas,KKR,Kolkata Knight Riders,3,3,96,16,96.0,46.0,12.52,7.4,10,5,1,19/1,19/1,0,0,0,46
Duan Jansen,True,Overseas,MI,Mumbai Indians,1,1,53,6,53.0,24.0,13.25,4.0,3,4,1,53/1,53/1,0,0,0,24
Shahbaz Ahmed,False,Indian,RCB,Royal Challengers Bangalore,10,5,95,9,95.0,42.0,13.57,7.0,6,8,1,38/1,38/1,0,0,0,42
Kartik Tyagi,True,Indian,SRH,Sunrisers Hyderabad,3,3,92,10,92.0,37.0,14.91,6.1,13,3,1,30/1,30/1,0,0,0,37
