BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Hardik Pandya,,,GT,Gujarat Titans,123,,81,35,54,,1763,434,,,33.26,22.68,22.68,,,8.80,198,,,,147,115,,,,,53,,,,3/17,3/17,0,,0,0,,0
Ravi Bishnoi,,,LSG,Lucknow Super Giants,52,,51,77,520,,1445,416,,,27.26,21.57,21.57,,,7.59,190,,,,65,33,,,,,53,,,,3/24,3/24,1,,0,0,,0
Prasidh Krishna,,,RR,Rajasthan Royals,51,,51,18,150,,1703,492,,,34.76,23.37,23.37,,,8.92,189,,,,71,18,,,,,49,,,,4/30,4/30,3,,1,0,,0
Shreyas Gopal,,,SRH,Sunrisers Hyderabad,49,,48,20,192,,1282,315,,,26.16,19.37,19.37,,,8.11,158,,,,18,6,,,,,49,,,,4/16,4/16,1,,1,0,,1
Shahbaz Nadeem,,,SRH,Sunrisers Hyderabad,72,,70,,221,,1784,456,,,37.17,29.48,29.48,,,7.56,235,,,,2,0,,,,,48,,,,3/16,3/16,2,,0,0,,0
Nathan Coulter-Nile,,,,,39,,38,,5,,1100,373,,,22.92,17.85,17.85,,,7.70,142,,,,12,7,,,,,48,,,,4/14,4/14,1,,2,0,,0
Jofra Archer,,,MI,Mumbai Indians,40,,40,17,181,,1171,443,,,24.40,19.69,19.69,,,7.43,157,,,,28,25,,,,,48,,,,3/15,3/15,2,,0,0,,0
T Natarajan,,,SRH,Sunrisers Hyderabad,47,,47,20,224,,1504,331,,,31.33,21.44,21.44,,,8.77,171,,,,74,32,,,,,48,,,,3/10,3/10,1,,0,0,,0
Shadab Jakati,,,GL,,59,,57,,0,,1450,339,,,30.85,23.09,23.09,,,8.02,180,,,,3,0,,,,,47,,,,4/22,4/22,1,,2,0,,0
Mustafizur Rahman,,,DC,Delhi Capitals,48,,48,14,258,,1444,401,,,30.72,23.23,23.23,,,7.93,181,,,,35,11,,,,,47,,,,3/16,3/16,1,,0,0,,0
Tim Southee,,,KKR,Kolkata Knight Riders,54,,54,16,77,,1742,461,,,37.06,25.66,25.66,,,8.67,201,,,,38,22,,,,,47,,,,3/20,3/20,2,,0,0,,0
Anil Kumble,,,RCB,Royal Challengers Bangalore,42,,42,,0,,1058,374,,,23.51,21.44,21.44,,,6.58,160,,,,3,0,,,,,45,,,,5/5,5/5,1,,2,1,,0
Ryan Harris,,,PBKS,Punjab Kings,37,,37,,0,,1047,365,,,23.27,18.49,18.49,,,7.55,138,,,,6,3,,,,,45,,,,4/34,4/34,3,,1,0,,0
Sreenath Aravind,,,RCB,Royal Challengers Bangalore,38,,38,,0,,1039,290,,,23.09,16.89,16.89,,,8.20,126,,,,4,0,,,,,45,,,,4/14,4/14,0,,2,0,,0
Pat Cummins,,,KKR,Kolkata Knight Riders,42,,42,16,33,,1357,355,,,30.16,21.18,21.18,,,8.54,158,,,,39,31,,,,,45,,,,4/34,4/34,1,,1,0,,0
