PLAYER,NATIONALITY,TYPE,BASE PRICE
Ruben Trumpelmann,Overseas,Bowler,"20,00,000"
Koushik Vasuki,Indian,Bowler,"20,00,000"
Vasu Vats,Indian,Bowler,"20,00,000"
Shubham Agrawal,Indian,All-Rounder,"20,00,000"
Baba Aparajith,Indian,All-Rounder,"20,00,000"
Anshul Kamboj,Indian,All-Rounder,"20,00,000"
Azim Kazi,Indian,All-Rounder,"20,00,000"
Dev Lakra,Indian,All-Rounder,"20,00,000"
Jitender Pal,Indian,All-Rounder,"20,00,000"
Ritwik Roy Chowdhury,Indian,All-Rounder,"20,00,000"
Utkarsh Singh,Indian,All-Rounder,"20,00,000"
Shubham Singh,Indian,All-Rounder,"20,00,000"
Avneesh Sudha,Indian,All-Rounder,"20,00,000"
Asad Jamil Ahmed,Indian,Bowler,"20,00,000"
Bandaru Ayyappa,Indian,Bowler,"20,00,000"
Aashish Bhatt,Indian,Bowler,"20,00,000"
McKenny Clarke,Overseas,Bowler,"20,00,000"
Shubham Kapse,Indian,Bowler,"20,00,000"
Gourav Koul,Indian,Bowler,"20,00,000"
Raunak Kumar,Indian,Bowler,"20,00,000"
Trilok Nag,Indian,Bowler,"20,00,000"
Atal Bihari Rai,Indian,Bowler,"20,00,000"
Ramon Simmonds,Overseas,Bowler,"20,00,000"
Rajeev Singh,Indian,Bowler,"20,00,000"
Mohd. Wasim,Indian,Bowler,"20,00,000"
Atharva Ankolekar,Indian,All-Rounder,"20,00,000"
Khizar Dafedar,Indian,All-Rounder,"20,00,000"
Naman Dhir,Indian,All-Rounder,"20,00,000"
Sahil Dhiwan,Indian,All-Rounder,"20,00,000"
Sampark Gupta,Indian,All-Rounder,"20,00,000"
Jordan Hermann,Overseas,All-Rounder,"20,00,000"
Hayden Kerr,Overseas,All-Rounder,"20,00,000"
Salman Khan,Indian,All-Rounder,"20,00,000"
Sairaj Patil,Indian,All-Rounder,"20,00,000"
Divyaansh Saxena,Indian,All-Rounder,"20,00,000"
Purnank Tyagi,Indian,All-Rounder,"20,00,000"
Prince Yadav,Indian,All-Rounder,"20,00,000"
Deepraj Gaonkar,Indian,All-Rounder,"20,00,000"
Shubham Garhwal,Indian,All-Rounder,"20,00,000"
Deepesh Nailwal,Indian,All-Rounder,"20,00,000"
Arjun Rapria,Indian,All-Rounder,"20,00,000"
Shashwat Rawat,Indian,All-Rounder,"20,00,000"
Sumit Ruikar,Indian,All-Rounder,"20,00,000"
Shivam Sharma,Indian,All-Rounder,"20,00,000"
Rajandeep Singh,Indian,All-Rounder,"20,00,000"
Anunay Singh,Indian,All-Rounder,"20,00,000"
Digvesh Singh,Indian,All-Rounder,"20,00,000"
Pranshu Vijayran,Indian,All-Rounder,"20,00,000"
Prerit Dutta,Indian,All-Rounder,"20,00,000"
Ramakrishna Ghosh,Indian,All-Rounder,"20,00,000"
Shubhang Hegde,Indian,All-Rounder,"20,00,000"
Shamshuzama Kazi,Indian,All-Rounder,"20,00,000"
Ayaz Khan,Indian,All-Rounder,"20,00,000"
Amit Pachhara,Indian,All-Rounder,"20,00,000"
Akul Pandove,Indian,All-Rounder,"20,00,000"
Garv Sangwan,Indian,All-Rounder,"20,00,000"
Shubham Sharma,Indian,All-Rounder,"20,00,000"
Amit Yadav,Indian,All-Rounder,"20,00,000"
Amit Ali,Indian,All-Rounder,"20,00,000"
Rishabh Chauhan,Indian,All-Rounder,"20,00,000"
Matthew Forde,Overseas,All-Rounder,"20,00,000"
Sammar Gajjar,Indian,All-Rounder,"20,00,000"
Rajneesh Gurbani,Indian,All-Rounder,"20,00,000"
Divyansh Joshi,Indian,All-Rounder,"20,00,000"
Dhruv Patel,Indian,All-Rounder,"20,00,000"
Jack Prestwidge,Overseas,All-Rounder,"20,00,000"
Aditya Sarvate,Indian,All-Rounder,"20,00,000"
Sagar Solanki,Indian,All-Rounder,"20,00,000"
Prenelan Subrayen,Overseas,All-Rounder,"20,00,000"
