Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Amit Mishra,24-11-1982,4.0,14.0,28.57,0.0,0.0,2.0,0.0,0.0,0.0,3,2.0,India,rhb,344.0,94.0,26.46,21.23,7.47,46,0.0,0.0,13.0,5/17,5/17,0.0,1.0,0.0,276.0,DC,Delhi Capitals,2.0,14.0,Indian,True
Barinder Sran,10-12-1992,4.0,4.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,2*,0.0,India,lhb,413.0,107.0,29.5,21.21,8.34,49,0.0,0.0,14.0,3/28,3/28,0.0,0.0,0.0,294.0,SRH,Sunrisers Hyderabad,4.0,14.0,Indian,False
Ankit Sharma,20-4-1991,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,3*,0.0,India,lhb,84.0,17.0,84.0,66.0,7.63,11,0.0,0.0,1.0,2/20,2/20,0.0,0.0,0.0,66.0,RPS,Rising Pune Supergiant,1.0,3.0,Indian,False
Chris Jordan,4-10-1988,3.0,4.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3.0,England,rhb,258.0,49.0,23.45,15.27,9.21,28,0.0,0.0,11.0,4/11,4/11,0.0,1.0,0.0,168.0,RCB,Royal Challengers Bangalore,1.0,9.0,Overseas,True
Shreyas Gopal,4-9-1993,2.0,16.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,2,2.0,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,1.0,1.0,Indian,True
Mohammad Shami,3-9-1990,2.0,4.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,2*,0.0,India,rhb,244.0,40.0,48.8,30.2,9.69,25,0.0,0.0,5.0,3/15,3/15,0.0,0.0,0.0,150.0,DC,Delhi Capitals,2.0,8.0,Indian,True
Dale Steyn,27-6-1983,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,South Africa,rhb,,,,,,,,,,,,,,,,GL,Gujarat Lions,1.0,1.0,Overseas,True
Kane Richardson,12-2-1991,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1*,0.0,Australia,rhb,136.0,34.0,19.42,12.0,9.71,14,0.0,0.0,7.0,3/13,3/13,0.0,0.0,0.0,84.0,RCB,Royal Challengers Bangalore,1.0,4.0,Overseas,True
Shahbaz Nadeem,12-8-1989,1.0,5.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1*,0.0,India,rhb,127.0,31.0,63.5,45.0,8.46,15,0.0,0.0,2.0,3/16,3/16,0.0,0.0,0.0,90.0,DC,Delhi Capitals,1.0,4.0,Indian,True
Shadab Jakati,27-11-1980,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,1*,0.0,India,lhb,178.0,30.0,89.0,60.0,8.9,20,0.0,0.0,2.0,4/22,4/22,0.0,0.0,0.0,120.0,GL,Gujarat Lions,1.0,6.0,Indian,False
