BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Akash Deep,true,,RCB,Royal Challengers Bangalore,5,60,5,19,2022-100mb00000001007-1363a306a45011,113,205,40,35.39,79,41.00,22.60,22.60,70.24,3.89,10.88,18.5,33,11,0,15,14,4,2,0,1,5,45,3,45,3,45/3,45/3,1,1,0,0,0,14800
Mitchell Santner,false,,CSK,Chennai Super Kings,6,60,6,13,2019-100mb00000000075-0984e17e1e4011,114,130,43,37.71,71,32.50,28.50,28.50,52.30,7.60,6.84,19.0,48,9,0,11,4,0,0,4,1,4,15,1,15,1,15/1,15/1,0,0,0,0,0,1903
Simarjeet Singh,true,,CSK,Chennai Super Kings,6,60,6,13,2021-100mb00000000622-e0d6c0e8ef8711,108,138,57,52.77,56,34.50,27.00,27.00,72.46,4.69,7.66,18.0,26,4,1,19,4,4,1,0,5,4,27,2,27,2,27/2,27/2,0,0,0,0,0,10789
Lalit Yadav,true,,DC,Delhi Capitals,12,60,8,14,2020-100mb00000000538-c16259a1639a11,108,150,38,35.18,72,37.50,27.00,27.00,58.66,6.00,8.33,18.0,46,7,0,10,8,1,1,0,2,4,11,2,11,2,11/2,11/2,0,0,0,0,0,6870
Mitchell Marsh,true,,DC,Delhi Capitals,8,60,4,14,2018-100mb00000000040-7f15f6c7f88a11,72,102,25,34.72,51,25.50,18.00,18.00,56.86,5.14,8.50,12.0,28,4,0,13,1,4,0,0,0,4,25,2,25,2,25/2,25/2,0,0,0,0,0,221
Kieron Pollard,true,,MI,Mumbai Indians,11,60,6,17,2019-100mb00000000166-f0e6b57e44ad11,84,125,21,25.00,66,31.25,21.00,21.00,60.80,5.25,8.92,14.0,46,2,0,10,6,3,0,0,5,4,8,2,8,2,8/2,8/2,0,0,0,0,0,210
Harpreet Brar,false,,PBKS,Punjab Kings,5,60,5,15,2019-100mb00000000130-89338eb7449a11,96,146,38,39.58,62,36.50,24.00,24.00,65.75,5.05,9.12,16.0,33,6,0,9,10,4,0,1,1,4,26,3,26,3,26/3,26/3,0,0,0,0,0,5441
Shahbaz Ahmed,false,,RCB,Royal Challengers Bangalore,16,60,14,19,2020-100mb00000000523-53bc4c09638b11,210,336,58,27.61,162,84.00,52.50,52.50,61.30,5.00,9.60,35.0,98,13,0,23,19,9,1,4,1,4,26,2,26,2,26/2,26/2,0,0,0,0,0,13803
Marcus Stoinis,true,,LSG,Lucknow Super Giants,11,60,5,77,2018-100mb00000000023-201fd633e99d11,42,79,13,30.95,31,19.75,10.50,10.50,68.35,3.81,11.28,7.0,13,5,0,6,5,2,0,0,0,4,23,3,23,3,23/3,23/3,0,0,0,0,0,964
Pradeep Sangwan,true,,GT,Gujarat Titans,3,60,3,35,2022-100mb00000000977-9892be9fa44611,54,65,22,40.74,34,21.66,18.00,18.00,55.38,6.00,7.22,9.0,19,4,0,9,0,2,0,0,1,3,19,2,19,2,19/2,19/2,0,0,0,0,0,91
Chetan Sakariya,false,,DC,Delhi Capitals,3,60,3,14,2021-100mb00000000592-49eb3f9a91e311,66,84,21,31.81,50,28.00,22.00,22.00,45.23,8.25,7.63,11.0,34,3,0,5,3,5,0,0,3,3,23,2,23,2,23/2,23/2,0,0,0,0,0,11062
Nathan Ellis,true,,PBKS,Punjab Kings,2,60,2,15,2021-100mb00000000633-40c59a2c160011,36,55,16,44.44,24,18.33,12.00,12.00,69.09,4.50,9.16,6.0,11,1,0,5,3,3,1,1,1,3,40,3,40,3,40/3,40/3,0,0,0,0,0,17118
Vaibhav Arora,true,,PBKS,Punjab Kings,5,60,5,15,2021-100mb00000000583-8f4c0c4491dd11,107,164,39,36.44,71,54.66,35.66,35.66,70.73,4.11,9.19,17.5,39,3,0,20,6,3,0,0,1,3,21,2,21,2,21/2,21/2,0,0,0,0,0,14859
Romario Shepherd,true,,SRH,Sunrisers Hyderabad,3,60,3,20,2019-100mb00000000371-481ee0be14fc11,54,98,23,42.59,34,32.66,18.00,18.00,75.51,3.60,10.88,9.0,13,3,0,8,7,3,0,0,0,3,42,2,42,2,42/2,42/2,0,0,0,0,0,20609
Navdeep Saini,true,,RR,Rajasthan Royals,2,60,2,18,2019-100mb00000000207-672d82e544bb11,36,72,10,27.77,29,24.00,12.00,12.00,69.44,3.27,12.00,6.0,13,3,0,8,3,2,1,0,1,3,36,2,36,2,36/2,36/2,0,0,0,0,0,3824
Ayush Badoni,true,,LSG,Lucknow Super Giants,13,60,2,77,2022-100mb00000000985-f5950061a44811,12,11,4,33.33,8,5.50,6.00,6.00,0.00,0.00,5.50,2.0,5,3,0,0,0,0,0,0,1,2,5,1,5,1,5/1,5/1,0,0,0,0,0,20586
Prashant Solanki,true,,CSK,Chennai Super Kings,2,60,2,13,2022-100mb00000000972-f0eac272a44511,36,38,12,33.33,24,19.00,18.00,18.00,42.10,12.00,6.33,6.0,20,1,0,1,2,0,0,0,1,2,20,2,20,2,20/2,20/2,0,0,0,0,0,20576
