BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Rahul Shukla,,,DC,Delhi Capitals,3,,3,,0,,98,18,,,49.00,27.00,27.00,,,10.88,9,,,,2,0,,,,,2,,,,2/28,2/28,0,,0,0,,0
Ben Cutting,,,RR,Rajasthan Royals,1,,1,,162,,31,9,,,31.00,24.00,24.00,,,7.75,4,,,,0,1,,,,,1,,,,2/20,2/20,0,,0,0,,0
Vikramjeet Malik,,,RR,Rajasthan Royals,1,,1,,0,,29,7,,,29.00,18.00,18.00,,,9.66,3,,,,0,0,,,,,1,,,,2/14,2/14,0,,0,0,,0
Laxmi Ratan Shukla,,,DC,Delhi Capitals,6,,5,,0,,83,22,,,83.00,56.00,56.00,,,8.89,9,,,,2,1,,,,,1,,,,3/25,3/25,0,,0,0,,0
Suresh Raina,,,CSK,Chennai Super Kings,16,,8,,106,,134,34,,,134.00,108.00,108.00,,,7.44,18,,,,51,19,,,,,1,,,,2/0,2/0,0,,0,0,,0
Andre Russell,,,KKR,Kolkata Knight Riders,2,,2,,141,,52,6,,,52.00,30.00,30.00,,,10.40,5,,,,0,0,,,,,1,,,,5/15,5/15,0,,0,0,,0
Murali Kartik,,,PBKS,Punjab Kings,2,,2,,0,,91,10,,,91.00,48.00,48.00,,,11.37,8,,,,0,0,,,,,1,,,,3/17,3/17,0,,0,0,,0
Lendl Simmons,,,MI,Mumbai Indians,8,,1,,368,,34,2,,,34.00,18.00,18.00,,,11.33,3,,,,43,14,,,,,1,,,,1/34,1/34,0,,0,0,,0
Parveez Rasool,,,SRH,Sunrisers Hyderabad,3,,3,,0,,83,14,,,83.00,54.00,54.00,,,9.22,9,,,,0,0,,,,,1,,,,1/20,1/20,0,,0,0,,0
Glenn Maxwell,,,PBKS,Punjab Kings,16,,7,,28,,132,14,,,132.00,66.00,66.00,,,12.00,11,,,,48,36,,,,,1,,,,2/15,2/15,0,,0,0,,0
John Hastings,,,CSK,Chennai Super Kings,1,,1,,0,,29,9,,,29.00,18.00,18.00,,,9.66,3,,,,0,0,,,,,1,,,,2/6,2/6,0,,0,0,,0
Ryan ten Doeschate,,,KKR,Kolkata Knight Riders,10,,4,,665,,35,13,,,35.00,30.00,30.00,,,7.00,5,,,,3,4,,,,,1,,,,1/24,1/24,0,,0,0,,0
Rohit Sharma,,,MI,Mumbai Indians,15,,2,,6,,26,4,,,26.00,18.00,18.00,,,8.66,3,,,,31,16,,,,,1,,,,4/6,4/6,0,,0,0,,0
Pat Cummins,,,KKR,Kolkata Knight Riders,1,,1,,33,,29,12,,,29.00,24.00,24.00,,,7.25,4,,,,0,0,,,,,1,,,,4/34,4/34,1,,0,0,,0
Pawan Suyal,,,MI,Mumbai Indians,1,,1,,0,,35,8,,,35.00,18.00,18.00,,,11.66,3,,,,0,0,,,,,1,,,,1/21,1/21,0,,0,0,,0
Jimmy Neesham,,,DC,Delhi Capitals,4,,4,,80,,91,14,,,91.00,54.00,54.00,,,10.11,9,,,,3,1,,,,,1,,,,3/12,3/12,0,,0,0,,0
Ravi Rampaul,,,RCB,Royal Challengers Bangalore,2,,2,,646,,37,18,,,37.00,36.00,36.00,,,6.16,6,,,,0,1,,,,,1,,,,3/31,3/31,0,,0,0,,0
Jason Holder,,,SRH,Sunrisers Hyderabad,1,,1,,263,,35,6,,,35.00,18.00,18.00,,,11.66,3,,,,2,1,,,,,1,,,,4/52,4/52,0,,0,0,,0
Rahul Sharma,,,DC,Delhi Capitals,2,,2,,0,,65,9,,,65.00,36.00,36.00,,,10.83,6,,,,0,0,,,,,1,,,,3/13,3/13,0,,0,0,,0
