BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Yash Dayal,true,Indian,GT,Gujarat Titans,5,107,5,35,2022-100mb00000000978-bc824605a44611,84,165,24,28.57,64,82.50,42.00,42.00,72.72,3.50,11.78,14.0,31,5,0,12,12,4,0,0,0,2,31,1,31,1,31/1,31/1,0,0,0,0,0,20591
Tim Southee,true,Overseas,KKR,Kolkata Knight Riders,2,107,2,16,2019-100mb00000000077-20befda21e4011,36,79,12,33.33,24,39.50,18.00,18.00,78.48,2.76,13.16,6.0,6,4,1,8,5,0,0,0,0,2,54,2,54,2,54/2,54/2,0,0,0,0,0,307
Liam Livingstone,true,Overseas,PBKS,Punjab Kings,9,107,5,15,2019-100mb00000000183-f4a991db44b611,42,94,5,11.90,37,47.00,21.00,21.00,76.59,2.47,13.42,7.0,18,2,0,15,2,0,0,0,0,2,19,1,19,1,19/1,19/1,0,0,0,0,0,3644
Kulwant Khejroliya,false,Indian,KKR,Kolkata Knight Riders,2,107,2,16,2019-100mb00000000204-8361537344ba11,26,64,7,26.92,21,32.00,13.00,13.00,68.75,2.88,14.76,4.2,4,7,0,5,4,0,2,0,0,2,44,2,44,2,44/2,44/2,0,0,0,0,0,3835
Praveen Dubey,true,Indian,DC,Delhi Capitals,1,107,1,14,2020-100mb00000000548-8aced9f7121111,18,19,8,44.44,11,19.00,18.00,18.00,52.63,9.00,6.33,3.0,8,0,0,1,1,1,0,0,0,1,19,1,19,1,19/1,19/1,0,0,0,0,0,3188
Glenn Phillips,true,Overseas,SRH,Sunrisers Hyderabad,5,107,2,20,2021-100mb00000000635-1bc73589160111,18,20,6,33.33,12,20.00,18.00,18.00,40.00,9.00,6.66,3.0,8,2,0,2,0,0,0,0,0,1,10,1,10,1,10/1,10/1,0,0,0,0,0,3027
Reece Topley,true,Overseas,RCB,Royal Challengers Bangalore,1,107,1,19,2021-100mb00000000574-27073d6f802311,12,14,7,58.33,5,14.00,12.00,12.00,85.71,4.00,7.00,2.0,2,0,0,3,0,0,0,0,0,1,14,1,14,1,14/1,14/1,0,0,0,0,0,5607
Tristan Stubbs,true,Overseas,MI,Mumbai Indians,2,107,1,17,2022-100mb00000001017-3e376712cc7911,12,14,3,25.00,9,14.00,12.00,12.00,42.85,12.00,7.00,2.0,8,0,0,0,1,0,0,0,0,1,14,1,14,1,14/1,14/1,0,0,0,0,0,20631
Mayank Dagar,true,Indian,SRH,Sunrisers Hyderabad,3,107,3,20,2022-100mb00000001547-613ed5ea54ee11,66,83,22,33.33,44,83.00,66.00,66.00,55.42,6.60,7.54,11.0,31,3,0,7,3,0,0,0,0,1,37,1,37,1,37/1,37/1,0,0,0,0,0,2968
Sisanda Magala,true,Overseas,CSK,Chennai Super Kings,2,107,2,13,2021-100mb00000000745-4375add8648611,36,51,6,16.66,31,51.00,36.00,36.00,39.21,7.20,8.50,6.0,20,5,0,5,0,1,0,0,1,1,37,1,37,1,37/1,37/1,0,0,0,0,0,745
Rishi Dhawan,true,Indian,PBKS,Punjab Kings,6,107,4,15,2022-100mb00000000996-0dad4bfba44d11,42,60,20,47.61,22,60.00,42.00,42.00,83.33,3.81,8.57,7.0,11,0,1,8,3,0,0,4,0,1,20,1,20,1,20/1,20/1,0,0,0,0,0,1088
Aiden Markram,true,Overseas,SRH,Sunrisers Hyderabad,13,107,6,20,2019-100mb00000000287-ca1a6bb17ae311,49,70,12,24.48,37,70.00,49.00,49.00,54.28,5.44,8.57,8.1,24,4,0,8,1,0,0,0,1,1,24,1,24,1,24/1,24/1,0,0,0,0,0,1667
Rovman Powell,true,Overseas,DC,Delhi Capitals,3,107,1,14,2019-100mb00000000329-bee19eaeb1e711,12,18,4,33.33,10,18.00,12.00,12.00,55.55,6.00,9.00,2.0,6,0,0,1,1,1,1,0,0,1,18,1,18,1,18/1,18/1,0,0,0,0,0,3333
Umesh Yadav,true,Indian,KKR,Kolkata Knight Riders,8,107,8,16,2018-100mb00000000021-a294dad8e99c11,114,189,42,36.84,74,189.00,114.00,114.00,73.01,3.93,9.94,19.0,37,6,0,18,11,2,0,0,1,1,27,1,27,1,27/1,27/1,0,0,0,0,0,59
Akeal Hosein,false,Overseas,SRH,Sunrisers Hyderabad,1,107,1,20,2021-100mb00000000722-c2b14507340811,24,40,6,25.00,18,40.00,24.00,24.00,70.00,4.00,10.00,4.0,12,0,0,4,2,0,0,0,1,1,40,1,40,1,40/1,40/1,0,0,0,0,0,5608
Darshan Nalkande,true,Indian,GT,Gujarat Titans,1,107,1,35,2019-100mb00000000127-b2131830449911,24,44,9,37.50,16,44.00,24.00,24.00,63.63,4.00,11.00,4.0,5,2,2,4,2,0,1,0,1,1,44,1,44,1,44/1,44/1,0,0,0,0,0,4447
Mustafizur Rahman,false,Overseas,DC,Delhi Capitals,2,107,2,14,2019-100mb00000000258-e46e7f697acb11,42,79,13,30.95,29,79.00,42.00,42.00,81.01,3.00,11.28,7.0,15,0,0,10,4,0,0,0,0,1,38,1,38,1,38/1,38/1,0,0,0,0,0,1594
Akash Deep,true,Indian,RCB,Royal Challengers Bangalore,2,107,2,19,2022-100mb00000001007-1363a306a45011,30,59,11,36.66,22,59.00,30.00,30.00,74.57,3.33,11.80,5.0,10,3,0,5,4,1,2,0,4,1,29,1,29,1,29/1,29/1,0,0,0,0,0,14800
Lockie Ferguson,true,Overseas,KKR,Kolkata Knight Riders,3,107,3,16,2019-100mb00000000069-7aeb5c411e3711,46,96,16,34.78,34,96.00,46.00,46.00,72.91,3.06,12.52,7.4,15,2,1,10,5,2,2,0,2,1,19,1,19,1,19/1,19/1,0,0,0,0,0,3729
Duan Jansen,true,Overseas,MI,Mumbai Indians,1,107,1,17,2022-100mb00000001227-bb965d41040c11,24,53,6,25.00,22,53.00,24.00,24.00,67.92,3.42,13.25,4.0,9,2,0,3,4,4,0,0,0,1,53,1,53,1,53/1,53/1,0,0,0,0,0,5647
Shahbaz Ahmed,false,Indian,RCB,Royal Challengers Bangalore,10,107,5,19,2020-100mb00000000523-53bc4c09638b11,42,95,9,21.42,33,95.00,42.00,42.00,75.78,3.00,13.57,7.0,16,2,1,6,8,0,0,0,0,1,38,1,38,1,38/1,38/1,0,0,0,0,0,13803
Kartik Tyagi,true,Indian,SRH,Sunrisers Hyderabad,3,107,3,20,2020-100mb00000000536-d64753d7639911,37,92,10,27.02,34,92.00,37.00,37.00,76.08,2.31,14.91,6.1,11,2,0,13,3,3,4,0,0,1,30,1,30,1,30/1,30/1,0,0,0,0,0,10059
