StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Shahrukh Khan,590,14,0000-00-00,true,Indian,107,2021-100mb00000000590-85eaa6f291e011,15,PBKS,Punjab Kings,107,15,2021-100mb00000000590-85eaa6f291e011,13,9,156,94,30,165.95,31.91,3.13,4.27,67.94,2.43,64,34,8,0,13,9,7,6,26.00,0,0,0,41*,22.29,7,0,7779
Dhruv Jurel,1004,13,0000-00-00,true,Indian,107,2022-100mb00000001004-da6e207ea44e11,18,RR,Rajasthan Royals,107,18,2022-100mb00000001004-da6e207ea44e11,11,7,152,88,21,172.72,23.86,4.19,4.40,64.47,2.26,67,40,7,0,11,9,7,4,38.00,0,0,0,34*,21.71,1,0,20620
Quinton De Kock,170,4,0000-00-00,false,Overseas,107,2019-100mb00000000170-9429250944ae11,77,LSG,Lucknow Super Giants,107,77,2019-100mb00000000170-9429250944ae11,4,4,143,102,34,140.19,33.33,3.00,5.66,61.53,2.10,68,45,5,0,10,8,4,0,NA,1,0,0,70,35.75,2,1,834
Dinesh Karthik,13,13,0000-00-00,true,Indian,107,2018-100mb00000000013-1031ba8ae99c11,19,RCB,Royal Challengers Bangalore,107,19,2018-100mb00000000013-1031ba8ae99c11,13,3,140,104,35,134.61,33.65,2.97,5.77,58.57,2.02,69,44,7,0,13,5,12,1,140.00,0,0,0,30,11.67,8,2,102
Sikandar Raza,820,7,0000-00-00,true,Overseas,107,2022-100mb00000000820-ef56fe6f762211,15,PBKS,Punjab Kings,107,15,2022-100mb00000000820-ef56fe6f762211,7,7,139,98,36,141.83,36.73,2.72,6.12,54.67,2.24,62,31,13,2,10,6,5,2,69.50,1,0,0,57,27.80,5,0,5603
Mahipal Lomror,184,12,0000-00-00,false,Indian,107,2019-100mb00000000184-117a285844b711,19,RCB,Royal Challengers Bangalore,107,19,2019-100mb00000000184-117a285844b711,10,17,135,97,33,139.17,34.02,2.93,5.70,62.22,2.10,64,43,4,0,9,8,8,2,67.50,1,0,0,54*,16.88,4,0,2970
Rashid Khan,218,17,0000-00-00,true,Overseas,107,2019-100mb00000000218-42d9d6f544bf11,35,GT,Gujarat Titans,107,35,2019-100mb00000000218-42d9d6f544bf11,9,8,130,60,24,216.66,40.00,2.50,2.85,84.61,3.61,36,10,5,0,8,13,4,5,26.00,1,0,0,79*,32.50,9,0,2885
Mitchell Marsh,40,9,0000-00-00,true,Overseas,107,2018-100mb00000000040-7f15f6c7f88a11,14,DC,Delhi Capitals,107,14,2018-100mb00000000040-7f15f6c7f88a11,9,3,128,97,43,131.95,44.32,2.25,5.38,67.18,2.37,54,31,4,1,11,7,9,0,NA,1,0,0,63,14.22,3,0,221
Moeen Ali,206,15,0000-00-00,false,Overseas,107,2019-100mb00000000206-501d92f644bb11,13,CSK,Chennai Super Kings,107,13,2019-100mb00000000206-501d92f644bb11,10,7,124,91,37,136.26,40.65,2.45,5.05,67.74,2.29,54,32,4,0,12,6,7,3,41.33,0,0,0,23,17.71,3,0,1735
Matthew Short,2032,6,0000-00-00,true,Overseas,107,2023-100mb00000002032-bbe5c374cc9311,15,PBKS,Punjab Kings,107,15,2023-100mb00000002032-bbe5c374cc9311,6,9,117,92,45,127.17,48.91,2.04,4.84,71.79,2.48,47,23,5,0,15,4,6,0,NA,0,0,0,36,19.50,5,0,2032
Abhinav Manohar,974,9,0000-00-00,true,Indian,107,2022-100mb00000000974-314d9cf0a44611,35,GT,Gujarat Titans,107,35,2022-100mb00000000974-314d9cf0a44611,6,4,114,83,25,137.34,30.12,3.32,6.38,57.89,1.96,58,42,3,0,6,7,6,0,NA,0,0,0,42,19.00,4,0,20589
Shardul Thakur,105,11,0000-00-00,true,Indian,107,2019-100mb00000000105-4c526de743fe11,16,KKR,Kolkata Knight Riders,107,16,2019-100mb00000000105-4c526de743fe11,10,3,113,70,21,161.42,30.00,3.33,4.11,67.25,2.30,49,27,5,0,13,4,8,2,56.50,1,0,0,68,14.13,4,0,1745
Aman Khan,979,11,0000-00-00,true,Indian,107,2022-100mb00000000979-7a91699fa44711,14,DC,Delhi Capitals,107,14,2022-100mb00000000979-7a91699fa44711,9,11,110,101,49,108.91,48.51,2.06,7.76,58.18,2.11,52,32,7,0,7,6,8,1,110.00,1,0,0,51,13.75,9,0,20581
