StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Shane Warne,0,15,,,,10000,,,RR,Rajasthan Royals,10000,,,7,,70,59,,118.64,,,,,,,,,,7,2,7,2,5,2,14.00,0,0,,22*,14.00,,
Ajit Agarkar,464,9,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,6,,54,46,,117.39,,,,,,,,,,5,2,5,2,5,1,10.80,0,0,,20,10.80,,
Shoaib Malik,304,7,,,,10000,,,DC,Delhi Capitals,10000,,,5,,52,47,,110.63,,,,,,,,,,5,0,5,0,4,1,13.00,0,0,,24,13.00,,
Arjun Yadav,0,8,,,,10000,,,DEC,Deccan Chargers,10000,,,6,,49,39,,125.64,,,,,,,,,,5,2,5,2,5,1,9.80,0,0,,16,9.80,,
Sanjay Bangar,463,11,,,,10000,,,DEC,Deccan Chargers,10000,,,7,,47,49,,95.91,,,,,,,,,,1,3,1,3,6,1,7.83,0,0,,17*,7.83,,
Balachandra Akhil,0,7,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,7,,46,31,,148.38,,,,,,,,,,4,3,4,3,3,4,15.33,0,0,,27*,15.33,,
Dwayne Smith,0,4,,,,10000,,,MI,Mumbai Indians,10000,,,3,,45,40,,112.50,,,,,,,,,,5,1,5,1,3,0,15.00,0,0,,20,15.00,,
Aakash Chopra,0,5,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,5,,42,52,,80.76,,,,,,,,,,5,0,5,0,5,0,8.40,0,0,,24,8.40,,
LPC Silva,0,3,,,,10000,,,DEC,Deccan Chargers,10000,,,3,,40,26,,153.84,,,,,,,,,,5,1,5,1,2,1,20.00,0,0,,23*,20.00,,
Ricky Ponting,0,4,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,4,,39,53,,73.58,,,,,,,,,,2,1,2,1,4,0,9.75,0,0,,20,9.75,,
Dominic Thornely,0,6,,,,10000,,,MI,Mumbai Indians,10000,,,4,,39,53,,73.58,,,,,,,,,,2,2,2,2,2,2,19.50,0,0,,30,19.50,,
Umar Gul,0,6,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,4,,39,19,,205.26,,,,,,,,,,1,5,1,5,3,1,13.00,0,0,,24,13.00,,
Amit Mishra,107,6,,,,10000,,,DC,Delhi Capitals,10000,,,3,,37,42,,88.09,,,,,,,,,,3,0,3,0,3,0,12.33,0,0,,31,12.33,,
Sohail Tanvir,0,11,,,,10000,,,RR,Rajasthan Royals,10000,,,5,,36,29,,124.13,,,,,,,,,,3,1,3,1,3,2,12.00,0,0,,13,12.00,,
Manpreet Gony,507,16,,,,10000,,,CSK,Chennai Super Kings,10000,,,5,,35,23,,152.17,,,,,,,,,,2,3,2,3,1,4,35.00,0,0,,15*,35.00,,
Luke Ronchi,0,4,,,,10000,,,MI,Mumbai Indians,10000,,,4,,34,32,,106.25,,,,,,,,,,6,1,6,1,4,0,8.50,0,0,,13,8.50,,
Pinal Shah,0,5,,,,10000,,,MI,Mumbai Indians,10000,,,4,,34,35,,97.14,,,,,,,,,,4,0,4,0,4,0,8.50,0,0,,19,8.50,,
Rajat Bhatia,0,9,,,,10000,,,DC,Delhi Capitals,10000,,,3,,34,28,,121.42,,,,,,,,,,2,2,2,2,2,1,17.00,0,0,,17,17.00,,
Mahesh Rawat,0,11,,,,10000,,,RR,Rajasthan Royals,10000,,,7,,34,39,,87.17,,,,,,,,,,3,1,3,1,4,3,8.50,0,0,,23*,8.50,,
Zaheer Khan,462,11,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,8,,34,43,,79.06,,,,,,,,,,4,0,4,0,4,4,8.50,0,0,,17*,8.50,,
Dinesh Salunkhe,0,6,,,,10000,,,RR,Rajasthan Royals,10000,,,3,,33,24,,137.50,,,,,,,,,,5,0,5,0,2,1,16.50,0,0,,26*,16.50,,
Tatenda Taibu,0,3,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,3,,31,26,,119.23,,,,,,,,,,3,0,3,0,3,0,10.33,0,0,,15,10.33,,
Harbhajan Singh,95,3,,,,10000,,,MI,Mumbai Indians,10000,,,3,,30,17,,176.47,,,,,,,,,,1,3,1,3,2,1,15.00,0,0,,28,15.00,,
Murali Kartik,0,6,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,3,,30,27,,111.11,,,,,,,,,,3,0,3,0,3,0,10.00,0,0,,17,10.00,,
Ramesh Powar,0,5,,,,10000,,,PBKS,Punjab Kings,10000,,,1,,28,21,,133.33,,,,,,,,,,4,1,4,1,0,1,0.00,0,0,,28*,0.00,,
RP Singh,0,14,,,,10000,,,DEC,Deccan Chargers,10000,,,9,,27,24,,112.50,,,,,,,,,,2,1,2,1,4,5,6.75,0,0,,10,6.75,,
Saurabh Tiwary,540,3,,,,10000,,,MI,Mumbai Indians,10000,,,2,,26,20,,130.00,,,,,,,,,,3,1,3,1,2,0,13.00,0,0,,17,13.00,,
Wilkin Mota,0,4,,,,10000,,,PBKS,Punjab Kings,10000,,,2,,26,27,,96.29,,,,,,,,,,2,0,2,0,1,1,26.00,0,0,,25,26.00,,
Shivnarine Chanderpaul,495,3,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,3,,25,31,,80.64,,,,,,,,,,4,0,4,0,3,0,8.33,0,0,,16,8.33,,
Vinay Kumar,0,8,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,4,,25,22,,113.63,,,,,,,,,,2,1,2,1,3,1,8.33,0,0,,23,8.33,,
Musavir Khote,0,4,,,,10000,,,MI,Mumbai Indians,10000,,,3,,24,22,,109.09,,,,,,,,,,2,1,2,1,2,1,12.00,0,0,,9,12.00,,
Jagadeesh Arunkumar,0,3,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,3,,23,23,,100.00,,,,,,,,,,5,0,5,0,3,0,7.66,0,0,,22,7.66,,
Chaminda Vaas,493,5,,,,10000,,,DEC,Deccan Chargers,10000,,,4,,21,18,,116.66,,,,,,,,,,0,1,0,1,3,1,7.00,0,0,,12*,7.00,,
Bharat Chipli,0,3,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,3,,20,28,,71.42,,,,,,,,,,3,0,3,0,3,0,6.66,0,0,,10,6.66,,
Mohammad Hafeez,297,8,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,3,,20,22,,90.90,,,,,,,,,,2,1,2,1,2,1,10.00,0,0,,13,10.00,,
Darren Lehmann,0,2,,,,10000,,,RR,Rajasthan Royals,10000,,,2,,18,18,,100.00,,,,,,,,,,3,0,3,0,2,0,9.00,0,0,,17,9.00,,
Siddharth Chitnis,0,3,,,,10000,,,MI,Mumbai Indians,10000,,,2,,18,10,,180.00,,,,,,,,,,1,1,1,1,2,0,9.00,0,0,,15,9.00,,
Jacob Oram,0,4,,,,10000,,,CSK,Chennai Super Kings,10000,,,3,,18,12,,150.00,,,,,,,,,,1,1,1,1,1,2,18.00,0,0,,13,18.00,,
Brett Lee,300,4,,,,10000,,,PBKS,Punjab Kings,10000,,,3,,17,13,,130.76,,,,,,,,,,2,1,2,1,1,2,17.00,0,0,,16*,17.00,,
Chamara Kapugedera,486,5,,,,10000,,,CSK,Chennai Super Kings,10000,,,3,,16,23,,69.56,,,,,,,,,,0,0,0,0,3,0,5.33,0,0,,8,5.33,,
Joginder Sharma,0,8,,,,10000,,,CSK,Chennai Super Kings,10000,,,3,,16,11,,145.45,,,,,,,,,,1,1,1,1,2,1,8.00,0,0,,16,8.00,,
Yo Mahesh,0,11,,,,10000,,,DC,Delhi Capitals,10000,,,5,,15,27,,55.55,,,,,,,,,,0,0,0,0,2,3,7.50,0,0,,6*,7.50,,
Devraj Patil,0,2,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,2,,13,13,,100.00,,,,,,,,,,1,0,1,0,2,0,6.50,0,0,,9,6.50,,
